task,sub,condition,a,v,t,st,alpha
flanker,7337,congruent,1.521472,0.8628411,0.19754425,0.15608409,1.2658433
flanker,7338,congruent,1.9663584,5.342496,0.20019211,0.08299222,1.3892285
flanker,7339,congruent,2.295135,4.2782874,0.23670869,0.11580052,1.4024432
flanker,7340,congruent,2.443107,3.6147463,0.24992669,0.12883627,1.4411201
flanker,7341,congruent,2.280015,4.3306627,0.20184873,0.102004275,1.4249626
flanker,7342,congruent,2.2520378,3.0700154,0.23024496,0.12885769,1.4098425
flanker,7343,congruent,1.9783652,3.664979,0.20350428,0.12000711,1.4122641
flanker,7344,congruent,1.9635475,4.106988,0.2039902,0.10107469,1.3837531
flanker,7345,congruent,2.2399082,3.163997,0.1973926,0.11448771,1.4874358
flanker,7346,congruent,2.0314353,2.9695764,0.21817692,0.12311959,1.3452321
flanker,7347,congruent,1.8429239,2.5710576,0.18934165,0.11537814,1.2529438
flanker,7348,congruent,2.3213506,3.4097023,0.21649995,0.12040949,1.4897982
flanker,7349,congruent,2.3402932,4.3013487,0.21472615,0.11735222,1.4443789
flanker,7350,congruent,1.9432228,2.6750903,0.2604801,0.14116542,1.315059
flanker,7351,congruent,2.1238751,3.0283613,0.25045872,0.14057967,1.3112663
flanker,7352,congruent,2.7612176,3.6909287,0.24537888,0.13368537,1.5093722
flanker,7353,congruent,1.9970722,3.85323,0.19860591,0.10328988,1.4505801
flanker,7354,congruent,2.3460777,3.5608373,0.23664469,0.119130306,1.383174
flanker,7355,congruent,2.0890307,3.8135586,0.20154718,0.1180503,1.3944045
flanker,7356,congruent,1.9589697,2.639081,0.21001434,0.12534514,1.4258254
flanker,7357,congruent,2.2106423,3.6964433,0.21129422,0.1145148,1.3764696
flanker,7358,congruent,2.1658497,3.4215174,0.25924325,0.12592956,1.3994057
flanker,7359,congruent,2.275977,3.978015,0.21190023,0.1093498,1.4033042
flanker,7360,congruent,2.6605039,3.4498076,0.22196051,0.12958285,1.5185008
flanker,7361,congruent,2.0476794,2.1699553,0.32299083,0.16067219,1.3910022
