task,sub,condition,a,v,t,st,alpha
sternberg,subject102,s3,2.9161332,3.6609972,0.35725322,0.18438102,1.5112493
sternberg,subject103,s3,2.7372684,4.039277,0.30577692,0.14930852,1.5196867
sternberg,subject104,s3,2.9780953,4.176673,0.29101956,0.13853264,1.5211278
sternberg,subject105,s3,3.338859,3.3053172,0.35153404,0.19147055,1.5346228
sternberg,subject106,s3,2.628343,1.0587947,0.4930658,0.16943379,1.5405047
sternberg,subject107,s3,2.901365,4.703785,0.36166537,0.13789561,1.4213533
sternberg,subject108,s3,3.2883048,3.1425877,0.3269084,0.17338192,1.5541425
sternberg,subject109,s3,2.3578167,3.2133358,0.306352,0.15598477,1.4043547
sternberg,subject11,s3,2.69474,2.3392074,0.36284405,0.16891365,1.4851595
sternberg,subject110,s3,2.374782,4.831401,0.2626292,0.12649605,1.5139438
sternberg,subject111,s3,2.2253273,5.0225706,0.28385794,0.10060255,1.444944
sternberg,subject112,s3,2.8221352,3.8404503,0.32817963,0.16510779,1.4829172
sternberg,subject113,s3,2.1927974,3.4502623,0.27394277,0.12419775,1.305067
sternberg,subject114,s3,2.6644561,2.6543572,0.27038035,0.16530819,1.5104059
sternberg,subject115,s3,2.8385477,3.0385666,0.26597816,0.14789033,1.4901052
sternberg,subject116,s3,3.124383,3.1920497,0.32881537,0.18459584,1.5002228
sternberg,subject117,s3,2.8044693,1.5637043,0.36636212,0.16017194,1.5543624
sternberg,subject118,s3,2.5934865,4.761484,0.29991126,0.12921256,1.4802686
sternberg,subject119,s3,2.6131985,1.7617178,0.26383114,0.14319028,1.5587937
sternberg,subject12,s3,2.2296975,2.8974707,0.24573785,0.13495824,1.4541111
sternberg,subject120,s3,2.483811,3.853269,0.31835508,0.14285363,1.4495366
sternberg,subject121,s3,2.172121,2.7540402,0.3172274,0.1763485,1.3387108
sternberg,subject122,s3,1.9009144,1.2010893,0.25535727,0.12650433,1.4564261
sternberg,subject123,s3,2.588017,4.261576,0.2783779,0.1405605,1.4491721
sternberg,subject124,s3,3.1065824,3.4730523,0.27742463,0.15023212,1.5335592
sternberg,subject125,s3,2.704438,2.9778416,0.310819,0.17682359,1.4004035
sternberg,subject126,s3,3.0571325,3.8564677,0.36495677,0.16133866,1.4720713
sternberg,subject127,s3,3.006166,3.095045,0.36902156,0.21541725,1.5160083
sternberg,subject128,s3,2.6473575,5.1401944,0.29395762,0.11185937,1.5155005
sternberg,subject129,s3,2.680367,3.3990188,0.35346723,0.17985868,1.4380262
sternberg,subject13,s3,2.3329384,4.6320186,0.2405664,0.10156912,1.2877268
sternberg,subject130,s3,2.665862,5.2902575,0.34744608,0.11626146,1.435266
sternberg,subject131,s3,2.4861574,5.13743,0.3387276,0.10865713,1.4340496
sternberg,subject132,s3,2.1853306,3.9155195,0.27006593,0.12732208,1.374016
sternberg,subject133,s3,2.5637493,3.5967853,0.3445154,0.1447627,1.4859738
sternberg,subject134,s3,3.112119,4.5560303,0.36141652,0.15236779,1.4948514
sternberg,subject14,s3,2.3376923,1.3675003,0.3095267,0.15744239,1.4447732
sternberg,subject15,s3,2.8435082,3.8011613,0.3128919,0.14111915,1.4856699
sternberg,subject16,s3,2.8013394,3.3405254,0.30114585,0.15743376,1.460932
sternberg,subject17,s3,2.8152788,3.9991798,0.29904133,0.1465584,1.5713797
sternberg,subject18,s3,2.5395694,5.820944,0.37111038,0.10655674,1.5212932
sternberg,subject19,s3,2.6297867,4.8230534,0.31719887,0.1335437,1.5038593
sternberg,subject2,s3,2.4249907,2.7596595,0.33049357,0.16163667,1.3237817
sternberg,subject20,s3,2.5867355,4.33978,0.26208454,0.12146175,1.4904219
sternberg,subject21,s3,3.0528507,4.2675753,0.48856494,0.15707754,1.4710633
sternberg,subject22,s3,2.3028767,3.2020736,0.3356301,0.1605959,1.3089403
sternberg,subject23,s3,3.210177,2.1619387,0.35076734,0.18820626,1.536131
sternberg,subject24,s3,2.430815,4.306768,0.26765072,0.121833995,1.4080845
sternberg,subject25,s3,2.4102426,2.7236428,0.28091428,0.14517902,1.4991708
sternberg,subject26,s3,3.0224733,3.5710893,0.38933006,0.18525942,1.3052253
sternberg,subject27,s3,3.289324,3.9004366,0.38037103,0.1559485,1.3793775
sternberg,subject28,s3,2.941113,4.1779137,0.2712491,0.13354298,1.5365254
sternberg,subject29,s3,1.9292803,3.6768703,0.31632602,0.13660753,1.3225298
sternberg,subject3,s3,2.8230152,2.5403929,0.3637165,0.16643324,1.4991502
sternberg,subject30,s3,2.1883173,4.9898067,0.29033256,0.10094709,1.4235631
sternberg,subject31,s3,2.937276,4.316279,0.34198347,0.14722532,1.4714485
sternberg,subject32,s3,2.7032712,2.8465166,0.27253425,0.15697788,1.4713084
sternberg,subject33,s3,2.6105945,1.7622477,0.6793827,0.24835555,1.4221978
sternberg,subject34,s3,2.1491263,5.045931,0.28077474,0.10146929,1.3599561
sternberg,subject35,s3,2.8900435,4.2685065,0.37562636,0.15310055,1.3750234
sternberg,subject36,s3,2.4736724,4.022129,0.3052461,0.15261488,1.424468
sternberg,subject37,s3,2.2516272,3.0230486,0.32400846,0.19773692,1.3427204
sternberg,subject38,s3,2.2885718,1.7855461,0.32923746,0.15019122,1.5209006
sternberg,subject39,s3,3.2875297,2.9100463,0.34739482,0.169045,1.5019869
sternberg,subject4,s3,2.8157446,3.1543834,0.39911008,0.21835932,1.252945
sternberg,subject40,s3,2.3776965,4.097789,0.3119931,0.14100863,1.3975554
sternberg,subject41,s3,3.1065915,3.9495525,0.3186131,0.14743826,1.5294251
sternberg,subject42,s3,2.3402495,3.236866,0.27671304,0.1474047,1.4533578
sternberg,subject43,s3,3.5184317,3.7021823,0.4500805,0.22031543,1.4575955
sternberg,subject44,s3,3.0060768,3.9590023,0.33735913,0.15703753,1.4673165
sternberg,subject45,s3,2.609148,4.6935344,0.27813485,0.12633312,1.4847227
sternberg,subject46,s3,2.837141,4.05061,0.38566628,0.16585729,1.3926077
sternberg,subject47,s3,3.1441176,3.4673023,0.34687692,0.18162093,1.4584475
sternberg,subject48,s3,2.5933924,3.612896,0.2843348,0.15373497,1.4170513
sternberg,subject49,s3,3.036341,4.4982815,0.31615287,0.13843903,1.501426
sternberg,subject5,s3,2.785593,2.9010446,0.3501562,0.18692222,1.3799279
sternberg,subject50,s3,3.0462365,4.797825,0.38029614,0.13613108,1.5007384
sternberg,subject51,s3,2.3828657,4.2587147,0.27805993,0.12942693,1.351305
sternberg,subject52,s3,2.9425893,5.380921,0.35884658,0.12025512,1.4386511
sternberg,subject53,s3,2.4987454,4.689538,0.3017742,0.1221045,1.4477623
sternberg,subject54,s3,2.356175,3.9834452,0.31498876,0.16065487,1.4817231
sternberg,subject55,s3,2.63163,4.3108883,0.29717106,0.1304031,1.4192878
sternberg,subject56,s3,2.6334498,5.912391,0.3466051,0.0969626,1.4896133
sternberg,subject57,s3,2.8209484,3.3362103,0.28320783,0.14167073,1.5456002
sternberg,subject58,s3,2.563835,4.238618,0.3201951,0.128548,1.4559847
sternberg,subject59,s3,2.4977527,5.2560854,0.29680747,0.11112302,1.4840195
sternberg,subject6,s3,2.824205,4.321907,0.3104005,0.1313487,1.5427736
sternberg,subject60,s3,2.5425653,3.885691,0.3276689,0.15253636,1.438529
sternberg,subject61,s3,2.2465122,4.046361,0.34629408,0.15571058,1.3623849
sternberg,subject62,s3,2.2014952,4.3042765,0.32077056,0.1315672,1.3708698
sternberg,subject63,s3,2.8433518,3.4469717,0.32028174,0.15746303,1.4397749
sternberg,subject64,s3,2.468959,4.687455,0.2830504,0.121207476,1.4336519
sternberg,subject65,s3,2.4196749,4.1708837,0.28423464,0.13132459,1.3405875
sternberg,subject66,s3,2.6847484,4.263343,0.3242282,0.14856178,1.4590263
sternberg,subject67,s3,2.6850924,3.5125732,0.33459434,0.16286875,1.4985278
sternberg,subject68,s3,2.5303836,4.0927076,0.26324204,0.13368526,1.4761107
sternberg,subject69,s3,3.3956847,3.716167,0.4055631,0.16691989,1.4942948
sternberg,subject7,s3,3.0279973,3.997518,0.29670045,0.15948188,1.550364
sternberg,subject70,s3,3.2664435,2.411008,0.45482707,0.19231325,1.5458804
sternberg,subject71,s3,3.025875,4.0947337,0.30316442,0.14537635,1.5387547
sternberg,subject72,s3,2.5538194,3.6910672,0.34885138,0.17943151,1.4997505
sternberg,subject73,s3,3.0338001,4.2765346,0.29762012,0.13771999,1.5179076
sternberg,subject74,s3,2.625484,5.8184996,0.25521874,0.09020988,1.4615831
sternberg,subject75,s3,3.0298219,2.8527598,0.4200076,0.20115727,1.4601036
sternberg,subject76,s3,2.6733289,3.5529246,0.32649395,0.17990348,1.4565293
sternberg,subject77,s3,2.9769678,3.4018922,0.45935267,0.1855189,1.3625711
sternberg,subject78,s3,3.124981,4.095521,0.3307286,0.15902741,1.5376112
sternberg,subject79,s3,2.592592,4.1884146,0.27722618,0.12946938,1.3782104
sternberg,subject8,s3,2.7858303,3.443543,0.26167685,0.1412232,1.5132583
sternberg,subject80,s3,2.398108,4.076971,0.3376406,0.15749654,1.4416028
sternberg,subject81,s3,2.784243,3.8144586,0.34300423,0.1675948,1.4359064
sternberg,subject82,s3,3.1559792,2.2479062,0.29925656,0.15654549,1.5840888
sternberg,subject83,s3,2.4123945,3.2268405,0.3707867,0.18447645,1.3070924
sternberg,subject84,s3,2.5328918,2.718566,0.27789575,0.153372,1.4802831
sternberg,subject85,s3,3.0074005,2.037912,0.4012176,0.18287434,1.5455856
sternberg,subject86,s3,2.7344255,4.0800805,0.3292974,0.14948724,1.4116136
sternberg,subject87,s3,3.0226028,3.7122383,0.2904188,0.15229782,1.5377142
sternberg,subject88,s3,2.4879446,4.6286144,0.3201139,0.13282806,1.4579451
sternberg,subject89,s3,2.8711596,2.679552,0.3860636,0.20473832,1.4676937
sternberg,subject9,s3,2.151994,3.58842,0.30232772,0.15828224,1.2880063
sternberg,subject90,s3,2.802328,5.0396657,0.32054725,0.12976778,1.5362808
sternberg,subject91,s3,3.1131659,3.9617124,0.31794566,0.15310666,1.5476122
sternberg,subject92,s3,2.6414876,3.8577995,0.26750624,0.12602995,1.4219363
sternberg,subject93,s3,2.8289702,3.3789673,0.3377008,0.18279158,1.4615028
sternberg,subject94,s3,2.8696914,3.5110216,0.30235338,0.15041786,1.5107905
sternberg,subject95,s3,2.513417,3.221414,0.26030838,0.14962156,1.3726491
sternberg,subject96,s3,3.1502447,3.0313013,0.33073598,0.17421088,1.5031668
sternberg,subject97,s3,2.6460898,2.0878696,0.26421994,0.1445857,1.5622913
sternberg,subject98,s3,3.0721614,3.2108297,0.4403519,0.2517538,1.5078889
sternberg,subject99,s3,3.3534393,3.332781,0.401415,0.17261265,1.5381694
sternberg,subject1,s5,3.7955124,1.3569107,0.4554147,0.23074435,1.6050332
